video,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4
2435100235,1906,640,480,why did the man in white shirt try to pass the watch to the other cyclist,2,1,CW,exchange for gift,change watch strap,want to sell watch,change colours of the watch,pose for camera
11541421563,2403,640,360,what does the woman in brown do after sitting for a while at the start,4,5,TN,touch baby s hand,run,look at the lady in red,stand up and flip the chart,leave her seat
7288107396,507,640,360,what did the boy do after he got down from the stairs,3,3,TN,run towards the book shelf,continued moving his bicycle,put his arms back up,run to the present,lean against the screen
3530231811,2697,640,480,why are there people sitting in front of the man in black jacket,3,7,CW,instructors,taking video,gesturing to emphasize his point,audiences,control the music
5445581571,964,640,360,what is the black spotted dog looking at after he looked up,0,7,TN,white dog,chase the brown dog,trying to chase the white dog,bends down,play with ball
8531675050,1620,640,360,why does the woman keep her hands in a specific position after going near the man,3,7,CW,gesturing as she speaks,shake hands with man,to show man something in her hands,listen to the man,spinning around
10030609934,1680,640,360,why did the boy bend down near the beginning of the video,4,5,CW,looking at the slope,holding a hen,to dance on the floor,talking,look at purple thing on ground
3935853204,943,640,480,why is the lady moving her head and fingers,3,9,CW,to examine the screen,attract baby s attention,taking pictures,control the screen,performing
8277866423,829,640,360,why did the brown dog move backwards,3,7,CW,fetch the toy,playing hide and seek,check the cleaning parts,black dog barked at it,excited to play
4485707628,1933,352,288,how does the black dog interact with brown dog at the end of video,0,5,CH,sniff it,biting its tail,biting its head,push ball to brown dog,bark at it
5913180144,1191,640,480,what does the man in blue socks do after he was put down by the man in grey suit,3,2,TN,arm wrestle,play with sand,walk along the lighted up wall,take a step away,bite him
2454242177,1574,320,240,which direction did the baby push the blue toy after the start,0,9,TN,backward,let go of one hand and turn,pick them up from yellow part,forward,hit his legs
2604394962,1078,640,480,why did the man put the toy on the ledge of the wall,2,1,CW,stay balance to go up,to attract the boy,play with it,stabilise,for cat to play
5205081904,623,360,480,why does the child turn around near the end of the video,4,1,CW,reaching for bottle,talking,he got the pacifier,to climb down the stairs,picks up the grey jacket
4967810888,1868,640,480,why does the woman in white bend down while walking in near the end,4,2,CW,ensure she do nt fall,pick up a bag,pose,touch lady in blue,stay clear of the plant
5875535585,2291,640,360,how does the man in black interact with the audience,1,9,CH,hit the drum,walk up and down,hit with a stick,kneel down,patting his shoulder
4765564263,420,640,480,how did the boy in black pants moved from place to place,0,9,CH,walk,jump,cycling,on scooter,swimming
2584172238,719,320,240,why did the woman place her hand at the boy s hip in the middle of the video,1,6,CW,take balloon away from baby,support boy,get closer to the bell,clean the hip,check whether baby peed
4882821564,2697,640,480,how did the boy react when he entered the room at the start,3,4,TC,dance,run,stretch his hand out,smile,walk close to it and look
4273039295,2214,640,360,how is the boy moving around,1,0,CW,hiking,walking,adult carry him,flying fox,skiing
11584566583,376,640,480,how did the woman in green adjusts her glasses at the middle,0,3,CH,push up using finger,take off and put on,held on to sides of ladder,nods her head,point her boards to make triangle
4010069381,369,640,480,why does the man in brown look towards his back,4,2,CW,wait for the girl,check the screen,playing guitar,dancing together,talk to lady
2573424030,1470,320,240,why did the dog stand on 2 legs after seeing the man give a treat to the baby,0,3,CW,wanted food,wants to get pet,smile at camera,bigger dog didnt want it,man touches it
8513603944,919,640,480,what does the child in blue helmet do after turning around,1,8,TN,the girls riding,continue walking,moves the object,reading something,eat it
6244675392,900,480,640,why does the adult put out her hand towards the baby at the beginning of the video,4,0,CW,to kiss her,tell baby to follow,to carry him,woman s manipulation,hand over the food
3869005094,300,640,480,how did the four people hold their sticks,1,8,CH,with their left hands,use both hands,hold the middle,right hands,lean on wall
2957808913,598,640,480,what does the man sitting on stage behind the guitarists do when they play the guitar,0,5,TC,play the drum,shake body vigorously,stands on the side,practicing dancing,sitting on the floor
5521781780,2697,640,480,what does the man in grey hold in his hands while he was walking around,0,3,TC,camera,book,spoon,chair,racket
6097994550,526,640,360,what did the man sitting on top do after he came off the person on the ground,1,0,TN,touch the camera,kneel at the side,talk to camera,hold each other arms,hug man
6754608321,1617,272,480,why does the girl put her hand underneath the baby s neck,4,1,CW,adjust her necklace,tickle,massage her neck,feed her milk,to give support
4151403382,1875,640,480,what does the boy in brown bib do after seeing the piano,3,4,TN,acknowledged him,grab book,pull his scarf,bend down to play,take it from him
3655906094,563,640,480,why did the man with sunglasses move his hand when talking to the man in blue hat,0,1,CW,gesturing,shake hands,funny conversation,pat his back,take notes
3322503255,1233,320,240,why is the plane coming foward,4,1,CW,ready to take off,to support another plane,direct the car,waiting for instructions,parking
5875242364,427,640,384,why did the baby started to look distress after he tried to hold the makeshift pool,3,2,CW,water got into eyes,man takes away the bottle,natural reaction to dust,can not get up,dog snatched his toy
3655906094,563,640,480,what did the man with grey hat do after talking to the man with sunglasses,4,9,TN,adjust his posture,performing,turns toward the man in beige,wave hands around,bend down
9917882506,974,512,288,how do the children stop their bikes,2,7,CH,move handles,stopped by dog,put their legs down,stopped by man,fall down the bike
11541421563,2403,640,360,why are the men sitting surrounding the man in orange and woman in brown,3,0,CW,snuggle with boys,to reach the top,different types of bicycles,observe as audience,watching friends play
5061117640,1587,568,320,what does the man in grey do after walking for a while in the room at the start,2,5,TN,adjust a chair,look at the presenters,sit down,pose,pick something up
6592821115,1800,640,424,why did the woman in grey extend her arms out to the standing baby in polkadot,3,2,CW,playing with baby,pointing at baby,stop toddler from hitting baby with toy,to signal for baby to come,dancing with baby
4264435046,566,640,480,what did the stray dog do as the woman was running back with her dog at the end,2,6,TC,balances on one leg,stand and stare,follow,looking at the dogs,move backwards
4092992100,461,640,480,why did the boy in red and black shift his bike up after the boy in yellow and blue take off,4,2,CW,clean the floor,want to lie down,tease him,motorbike can not move,wait for his turn
4564478328,1410,640,360,why did the lioness bend its head down in the middle,3,6,CW,playing,distracted,pick up something,drink water,to make the dog jump
7164729910,656,640,360,what does the boy do after hitting the wall at the start,3,6,TN,pull himself up,got up a little,standing and touching his lips,retreat backwards,throw ball in
5433090067,607,480,640,why was the black chair moving at the start of the video,1,5,CW,the dog pushes it around,girl moves it,lady carries it up,boy drags it,man in grey kicked
5987365500,714,480,640,how does the girl feel as she is singing,3,5,TC,happy celebrating the girl s birthday,upset,about to cry,shy,confused
4260763967,1017,640,480,what was the boy in yellow doing before the boy in blue turned his head behind at the middle,3,8,TP,move his hands to other chair,play with sand,look at him,pick something up from ground,throw to make splash
5026660202,2697,640,480,how do the singing guitarists project their voices,2,1,CH,with a trumpet,with a loudspeaker,speak to the microphone,talk louder,shout
13919236672,3924,640,360,what did the girl do after she dragged open the red box,1,7,TN,lies down,close the red box,hit her back,say something to the girl,walk towards her
2736413196,1617,352,288,why is the man in orange pointing at the laptop,1,5,CW,filming,showing the other man,talk to lady,monitor the robot,signal boy to close laptop
4650556666,567,640,480,how is the woman holding the boy,2,0,CH,pat head,pushes the pram,with both hands,holding baby in her arm,hold the attached string
4762946272,647,640,360,why did the woman take the measuring spoons away from the boy,0,5,CW,do nt need it anymore,feeding,finish eating the piece,so can take picture,wants to play with it
4123211145,2697,640,480,why did the person at the back throw a jacket towards the girls when they are dancing in front,3,3,CW,act in front of camera,follow the rhythm,to wear the jacket,play with them,do a magic show
3046900922,539,640,480,what does the child do after being put down on the ground near the end,3,2,TN,withdrew toy,touch the cloth,a toy,walk away,happy and excited
5349969207,1193,640,360,why does the black dog sitting in front of the electrical fan turn its head at the start of the video,2,0,CW,drink water,pick ball up,look back,trying to move it,let go of the rocks
2821788355,765,320,240,how did the man in red pants keep contact with the speeding boat,4,2,CH,push himself,steer wheel,hand signals,paddle,hold on to long rope
3846475848,2138,640,480,why does the man keep the ferret on the floor,0,2,CW,to dry,allow the girl to play,fall over,touch the dog,baby crying
8455160795,600,640,360,what was the man in grey jacket doing as the man with a stick stood on the shore in the middle,1,2,TC,on the phone,walking,posing,walk over to pull boat closer,running around
2596300565,2415,500,375,why does the baby stops and starts pushing the pram the opposite direction,3,3,CW,playing,to hold the plate,the lady turned the walker,practice walking again,distracted
8107573462,406,640,360,how did the man respond when the boy fell down,3,7,TC,no reaction,run towards boy,get off his ski,let go of boy s hand,look away from boy
2697261300,1392,640,480,how did the cameraman get the boy s attention near the start,4,1,CH,climb on lady s lap,knee pads,point into the camera,crawl,hand gesture
5840177726,377,640,480,why did the man in red pedal faster when going upslope,2,1,CW,playing around,make vibrato,need more strength,push the black helmet man,create fear and thrill
5421648216,1290,640,360,why is there collar on the white sheep,0,1,CW,show that they are domestic,identify dog,to guide the elephant,comfortable to move around,airline
3441428429,2697,640,480,why does the female skater suddenly bend backwards while holding the male skater,1,8,CW,to dodge baby hitting her,performing stunt,look at boy,dancing,check on kids
2442307875,515,640,480,how do the children move their hands on stage,4,2,CH,standing in a line,swing back and forth,spin it,from right side of the stage,synchronised movements
4955723618,1831,640,480,how did the lady in black reacted when the man in black beside her passed her the microphone,1,4,TC,stand up and bow,smile and take it,covered her face in embarrassment,put her hands up and reject,smile and reject
4859057828,647,640,480,what do the three ladies do after posing together,0,3,TN,laugh,move closely to the camera,get off stage,start dancing,stand in a line
4516967897,2036,640,480,why did their hair move in the video,1,9,CW,adjust their hair,windy,shake their head,move hair out of her face,baby pulling
10779838974,890,640,1128,how does the girl in green help the girl in white,2,6,CH,woman in black dresses her,hand gestures,support the rake from the back,guide woman with her hand,with her skiing stick
3060478605,432,320,240,what does the lady hold on her right hand while riding the horse,3,5,TC,paper,stick,hat,rope,bottle
8225502382,1468,640,360,how does the man in dark green lift the bicycle up in the middle of the video,1,3,CH,training wheels,bend down to pick it up,pushing it,show him the watch,pushing bicycle
6516459343,2697,640,360,why did the man in green point his hand at the man in white while he is talking,0,2,CW,seek his help,express agreement to what was said,smiling,showing him the view,deliver message better
4279106208,559,640,360,why does the lady hold the baby before getting down the slide,3,3,TP,moves the head,swing arms,lay still,adjust his position,fidgeting
4251505427,2290,640,480,how did the lady ensure the safety of the child when she is standing on her lap,3,1,CH,holding him,kiss the baby on forehead,wrap it with blanket,hold with her hands,kiss the baby s head
7114553643,1974,640,480,why did the lady in yellow skirt stand in the middle of the stage,4,0,CW,watch performance,teaching the class,presenting,part of the dance,performing
5333075105,1168,640,480,how is the man moving in the snow,4,7,CH,skiing quickly,with bike,slides,run,crawling
6964124866,515,640,360,why does the child pick up some cards with numbers and letters on them,4,2,CW,pass to adult,posing for photo,playing with dog,bite it,playing with cards
6329077812,1835,640,360,what did the lady do after cleaning the baby s mouth,4,9,TN,clean baby s feet,look into the camera,spits out food,take off bib,continue feeding
5235909148,354,640,360,why is the string attached from one tree to another,4,3,CW,tied to it,to pull the float,windy,only 1 vine,to travel
4882414082,1350,640,480,why is the baby smiling while playing with the noodle at the middle,2,4,CW,pose,someone tickled him,feeling excited,lady gave him a new toy,wanted more sweets
5996148663,498,640,362,what did the lady do after trying to collect the water with her hands,3,8,TN,close the water bottle,give towel to the lady,gesture and move a bit,brought it to herself,walk away and play
7536230796,1773,640,1138,what does the baby do after watching the tv for a while,1,8,TN,jump down,gets distracted,excited,clap,moves the baby
5679866364,750,640,480,what is the man in yellow carrying while looking at the group,0,2,TC,bag,sticks,camera,baby,bottle
3972259774,1063,640,480,what did the lady in red do when the man in yellow first brought out the box,4,6,TC,move body,take lollipop out,drags the box out,look at the lady in white,point to the lady in black
4219909195,1003,640,480,what did the man gestured to the girl near the start of the video,0,0,TC,three fingers,a fist,his palm,up hands in air,one finger
4333544549,1065,640,360,why did the man in blue take out a phone in the middle of the video,2,5,CW,to take the picture,to take a high angled video,to answer call,looking for directions,to send message
13919236672,3924,640,360,what does the girl do after approaching the red box in the middle,1,9,TN,look down at baby,drags the box out,put glass cups away,walk away,put in her mouth
4179163342,2172,640,480,what did the tallest girl do after the man pointed at her,2,12,TN,walk,dance,jump up and down,take the food,take a few steps
5237219621,2680,640,360,what did the woman in black near the tv do after the woman in pink spoke at the middle,0,5,TN,give thumbs up,walk to boy in white,claps,dance,climb up
11587211476,1470,640,360,why are there people standing and sitting around at the boundaries of the course,4,4,CW,watching a show,enjoy the scene,watch the music show,spectators,witness and support
5658916668,660,640,1138,how did the man sliding down slope make sure that he keeps his balance,2,1,CH,hold the poles,paddle,squat low,stop halfway while cycling,wear helmet
9565310990,1066,640,360,why did the baby fall on his front halfway through the video,4,1,CW,pick up slippers,picks up the car,weak grip,to climb down the stairs,lose balance
6443512089,2437,640,360,how does the toy help the child move,2,3,CH,press the buttons,ropes to pull,handles for support,supported by adult,walking with toy car
2835125654,1406,320,240,what does the man do with his left leg as he watches the elephant at the start,1,6,TC,moves away,put on fence,flap around,talk to camera,blows the whistle
5662041273,2697,640,480,why is the boy holding a remote control,3,5,CW,watching television,controlling toy car,turning on air conditioner,flying helicopter,turning on fan
4838113006,2697,640,360,what does the lady do after picking a bell from table b and place something underneath it,0,8,TN,touch another bell,pretend to feed toy dog,walk to show camera,drag it towards her,talk
2990321092,633,640,480,why do the men duck their heads below the food,0,5,CW,easy to get the food,spread ketchup,busy playing with baby,talking loudly,he dislikes food near to him
5533380417,403,640,362,how did the man get the baby to sleep,2,1,CH,jump up,rides the baby in his hands,rock baby,turn off the light,play music
7531285946,1170,640,360,why is there a ladder in the middle of the land,3,9,CW,for child to play in,supervising boy,tree trimming,cross over fence,to play
3655906094,563,640,480,why is the man with the drum squinting his eyes,1,7,CW,it is itchy,sunrays,play the drum,looking for something,signal lady to sing
8224504302,1290,640,480,how do the men speak into the microphone on stage,3,5,CH,show slides,hold microphone in hands,microphones on collar,take turns,sway his body
4132599924,781,640,480,why did the eyes of the man hardly leaving the computer and the panel,0,0,CW,focus on adjusting the music,looking at script,dancing with her,shooting show,recording the people performing
2552130183,2697,480,360,what does the baby do after the lady lays it down on the ground near the end,1,10,TN,throws the pink toy,crawls,plays with the baby,roll onto her stomach,approach baby
5056964274,924,640,480,why did the boy move hands closer to mouth,4,7,CW,to wipe his mouth,suck his thumb,spit out food,cover his mouth,to eat
5116088152,1205,640,360,why did the baby let go of the banana at the end,2,4,CW,to give the kids,feed monkey,does not hold well,girl snatch it away,someone asked him to do
7088595057,1052,640,480,what happened to the black sheep after it tried to get up from the floor,1,9,TN,sniff slippers,fell back,get up slightly,look at dog,plays with the brown dog
7728559968,1480,640,360,why do the kittens attempt to bite each other,2,3,CW,change playing position,ticklish,to win the other cat,play fighting,fight with dog
5173770364,2388,640,360,what does the adult do as the baby plays with the adult s leg,4,2,TC,comfortable,walk behind,playing toys,sitting,lie down
3345608051,2250,640,480,why is there a man walking near the fighting field in the middle of the video,4,8,CW,wants to join in the fight,want to jump into the pool,pushed by sumo wrestlers,chased by some dogs,capturing the moment
5902452647,812,640,480,what does the girl do after the boy walks a few steps towards her in the middle,2,4,TN,put envelop on table,pass boy kite handle,walks backwards,walk to the sofa,kiss girl
4603484665,1045,640,480,how did the brown dog react after being ignored by the pair of dogs playing,2,7,TN,dig snow,jumps down,walk away,smile and wants to pet it,played along with him
3477387686,2034,640,480,how did the girl show affection to the dog at the end of the video,1,6,CH,make a sad face,kiss dog,caress its neck,turns it round and round,rubs the dog
4336654741,2697,640,480,why does the baby look towards the camera in between,3,1,CW,playing with baby,curious about something,to give the cameraman sand,playing around,to open the video game
3452354871,511,640,360,why did the man lift up his sole after the bird gotten off his foot,1,1,CW,to swing the baby high,see what is underneath,cleaning itself,caressing for dog,push baby faster
8208035645,428,640,360,what happened to the boy when he cycled upslope at the end,1,4,TC,man stopped his bicycle,comes down,fall off the bicycle,continue playing with the rod,sitting still
8177965766,705,640,360,what did the woman do to the microphone after awhile,3,0,TN,walk away,smiles,she talks to the other people,switch to the other hand,talks
6642268693,1143,640,480,how did the dog reach for the owner s hands,3,5,CH,touch the baby,with their teeth,jump on chair,lift up its head,jump on table
3026084730,2205,640,480,how did the man on the right do with his script at the end,3,2,CH,throw,press buttons,give to speaker,put under arm,put on table
10127533784,600,640,360,why does the man standing in the background raise his hand at the end,0,6,CW,he is happy,lure the dog to jump,need to play the drum,direct attention,cut hair
3026084730,2205,640,480,why did the man in the middle point upwards and moved his hands in the middle of the video,4,6,CW,play with toy,writing on book,practice boxing,gesture towards camera,hand gesture while talking
7453733046,992,640,360,how do the girls play with the water hole at the beginning of the video,4,4,CH,swings in the air,bounces it up and down,sprays water around,rub it against the mud,stand on it
