vid_id,question,answer,s0,s1,s2,s3,s4
5635265624,how does the lady show affection to the baby,0,lady shows affection to the baby by patting its head.,lady shows affection to the baby by moving it towards the baby.,lady shows affection to the baby by kissing the baby.,lady shows affection to the baby by putting the baby on her lap.,lady shows affection to the baby by caressing its head.
2830899473,why do the men have their hands around each other,0,Have your hands around each other to show affection.,Have your hands around each other to wear a uniform costume.,Have your hands around each other to prevent the camera from dropping.,Have your hands around each other to coordinate your moves.,Have your hands around each other to lure the dog to jump.
8464056582,what does the dog do after the baby sits down at the start,1,The dog plays with the baby after the baby sits down at the start.,The dog sniffs the baby's head after the baby sits down at the start.,The dog loves after the baby sits down at the start.,The dog moves to the other side after the baby sits down at the start.,The dog is happy after the baby sits down at the start.
3121571439,how does the man in black feel after the dance,0,The man in black feels happy after the dance.,The man in black picks something up after the dance.,The man in black looks at the man in white after the dance.,The man in black raises his eyebrows after the dance.,The man in black continues after the dance.
9473479950,how did the lady ensure she does not dirty the floor while eating watermelon,2,The lady ensured she does not dirty the floor while eating watermelon by tying it up.,The lady ensured she does not dirty the floor while eating watermelon by wearing a bib.,The lady ensured she does not dirty the floor while eating watermelon by using a bowl.,The lady ensured she does not dirty the floor while eating watermelon by wearing a vest.,The lady ensured she does not dirty the floor while eating watermelon by tying her hair up.
8064178441,what does the baby do after moving the penguin toy nearer to him near the end of the video,2,Move the penguin toy nearer to him.,Poke dough.,Toss it away.,Move it around.,Look at the camera.
2793806282,what did the lady in blue do when she reached the stairs,1,The lady in blue put her head on the table when she reached the stairs.,The lady in blue sat on the stairs when she reached the stairs.,The lady in blue goes to get food when she reached the stairs.,The lady in blue moved her hands around when she reached the stairs.,The lady in blue jumped down the stairs when she reached the stairs.
4138579400,what did the boy do after touching his spectacles,2,Look into the camera after touching your spectacles.,Touch the cat after touching your spectacles.,Touch your hair after touching your spectacles.,Start running with the trolley after touching your spectacles.,Play with the toy after touching your spectacles.
2435633172,what do the people do as the pig was scratching itself against the rock,0,people take photos as the pig was scratching itself against the rock.,people are playing as the pig was scratching itself against the rock.,people move the ball towards it as the pig was scratching itself against the rock.,people are sleeping as the pig was scratching itself against the rock.,people climb onto lap as the pig was scratching itself against the rock.
3151715056,how does the lady on the right interact with the girl on the chair,4,lady on the right interacts with the girl on the chair by dancing with her.,lady on the right interacts with the girl on the chair by supporting the girl from the back.,lady on the right interacts with the girl on the chair by swinging her hands.,lady on the right interacts with the girl on the chair by shaking hands with her.,lady on the right interacts with the girl on the chair by bending down and touching her.
8557532213,why did the boy in yellow look at the boy in blue before the boy in blue kicked the ball,3,boy in yellow looks at the boy in blue before the boy in blue kicks the ball to see the lady.,boy in yellow looks at the boy in blue before the boy in blue kicks the ball with him.,boy in yellow looks at the boy in blue before the boy in blue kicks the ball to check on him.,boy in yellow looks at the boy in blue before the boy in blue kicks the ball waiting to catch the ball.,boy in yellow looks at the boy in blue before the boy in blue kicks the ball to wave to him.
10597533885,what does the baby do after touching the toy house in the middle,1,baby takes support after touching the toy house in the middle.,baby plays with another toy after touching the toy house in the middle.,baby pushes the toy train after touching the toy house in the middle.,baby crawls forward after touching the toy house in the middle.,baby dances after touching the toy house in the middle.
8783897632,how do the two people transport the bikes down the slope,3,The two people transport the bikes down the slope by throwing them down.,The two people transport the bikes down the slope by using their feet to pedal.,The two people transport the bikes down the slope by putting them down on the ground.,The two people transport the bikes down the slope by pushing them.,The two people transport the bikes down the slope by using a car.
11244289523,how did the baby react when she first saw the tissue,4,The baby reacted by hitting the adult when she first saw the tissue.,The baby reacted by playing with the owl toy when she first saw the tissue.,The baby reacted by biting it when she first saw the tissue.,The baby reacted by continuing walking when she first saw the tissue.,The baby reacted by moving away when she first saw the tissue.
14012319794,why did the girl take the piece of card at the start of the video,0,girl took the piece of card at the start of the video to play with it.,girl took the piece of card at the start of the video to keep toys.,girl took the piece of card at the start of the video to lose interest in lady.,girl took the piece of card at the start of the video out of curiosity.,girl took the piece of card at the start of the video to hand it to the boy.
3249402410,what did the lady in pink do after the lady in red passed her the pan,2,lady in pink talks to the person in front after the lady in red passed her the pan.,lady in pink picks up the hat after the lady in red passed her the pan.,lady in pink walks away after the lady in red passed her the pan.,lady in pink takes a photo after the lady in red passed her the pan.,lady in pink takes the plate after the lady in red passed her the pan.
4485498145,what does the lady in pink do after drinking some water at the start,3,Lady in pink taps water with her foot after drinking some water at the start.,Lady in pink turns around after drinking some water at the start.,Lady in pink makes more bubbles after drinking some water at the start.,Lady in pink talks to the person in front after drinking some water at the start.,Lady in pink takes the brush out after drinking some water at the start.
2809330695,how does the baby try to get the pink toy near the end,1,The baby tries to get the pink toy near the end by calling for help.,The baby tries to get the pink toy near the end by pulling the pink toy.,The baby tries to get the pink toy near the end by kicking his legs.,The baby tries to get the pink toy near the end by pulling the string.,The baby tries to get the pink toy near the end by moving closer to the toy.
3445431963,how does the first diver react to the camera filming,3,The first diver reacts to the camera filming by giving a thumbs up.,The first diver reacts to the camera filming by turning it on.,The first diver reacts to the camera filming by looking around.,The first diver reacts to the camera filming by waving her fingers.,The first diver reacts to the camera filming by sitting.
3719793245,why is the girl moving her arms around in front of her,1,The girl is driving.,The girl is spinning the wheel.,The girl is trying to catch the rolling fallen apple.,The girl is pretending to hit the drum.,The girl is playing.
7114553643,what did the man in brown vest do after he stood up in the middle of the video,4,man in brown vest put in front of baby after he stood up in the middle of the video.,man in brown vest laughed after he stood up in the middle of the video.,man in brown vest held the leash and pat dog after he stood up in the middle of the video.,man in brown vest looked back at blonde girl after he stood up in the middle of the video.,man in brown vest held the lady's hand after he stood up in the middle of the video.
2503404966,why did the boy stopped walking and looked up,3,The boy stopped walking and looked up because someone called him.,The boy stopped walking and looked up to adjust his shoes.,The boy stopped walking and looked up to pose for the camera.,The boy stopped walking and looked up because it became dark.,The boy stopped walking and looked up to reach for food.
3784543730,why is the black shirt man moving his legs up and down on the bicycle,1,The black shirt man moves his legs up and down on the bicycle to help her ride with supporters.,The black shirt man moves his legs up and down on the bicycle to cycle.,The black shirt man moves his legs up and down on the bicycle to travel on the road.,The black shirt man moves his legs up and down on the bicycle to try tricks.,The black shirt man moves his legs up and down on the bicycle to cross muddy fields.
5328616848,what was the boy doing while the woman was pouring the ingredients,0,The boy fidgets with something while the woman is pouring the ingredients.,The boy pretends to feed the toy dog while the woman is pouring the ingredients.,The boy watches TV while the woman is pouring the ingredients.,The boy pours water on the dog while the woman is pouring the ingredients.,The boy dries clothes while the woman is pouring the ingredients.
4087654898,how did the children fill up the bucket,0,The children filled up the bucket by turning on the tap.,The children filled up the bucket through a straw.,The children filled up the bucket by having a person bring food to baby mouth.,The children filled up the bucket by touching the top of the bottle.,The children filled up the bucket by sitting around on the floor.
5803861992,why is the girl smiling,0,"Play with her, adult.",Be shy.,Find baby amusing.,Enjoy skiing.,Play with balloons.
6078524411,why did the baby put his head on the table,1,baby put his head on the table because it was tall enough to help.,baby put his head on the table because he was tired.,baby put his head on the table because he was playing.,baby put his head on the table to eat the food.,baby put his head on the table to lick yogurt taste.
4388652400,what happened to the dog when it looks at someone near the start,4,dog holds up a cup when it looks at someone near the start.,dog ignores the baby when it looks at someone near the start.,dog grabs the mouth when it looks at someone near the start.,dog barks when it looks at someone near the start.,dog is touched by the man when it looks at someone near the start.
9408800471,how does the boy pass the ball at the beginning of the video,4,The boy passes the ball at the beginning of the video using the baby walker,The boy passes the ball at the beginning of the video by throwing the ball towards the man,The boy passes the ball at the beginning of the video with his fingers behind the ball,The boy passes the ball at the beginning of the video by using his legs to push,The boy passes the ball at the beginning of the video by hitting the ball using his hands
3471421544,how does the baby move the chair,0,baby moves the chair by jumping.,baby moves the chair by pushing.,baby moves the chair by crawling.,baby moves the chair by falling.,baby moves the chair by pulling.
10030609934,why was the boy at the brown table near the stairs at the beginning of the video,4,The boy at the brown table near the stairs at the beginning of the video wanted to lie down.,The boy at the brown table near the stairs at the beginning of the video was dancing.,The boy at the brown table near the stairs at the beginning of the video wanted touch the sandals.,The boy at the brown table near the stairs at the beginning of the video wanted to get on the sofa.,The boy at the brown table near the stairs at the beginning of the video was bending down to look at the ground.
7164729910,how does the boy ensure he does not hit the sofa at the end,2,boy ensures he does not hit the sofa at the end by letting go of his hand.,boy ensures he does not hit the sofa at the end by getting up from the toy car.,boy ensures he does not hit the sofa at the end by looking behind him.,boy ensures he does not hit the sofa at the end by running away from the sofa.,boy ensures he does not hit the sofa at the end by stepping backward.
3557498300,what does the adult do after approaching the two kids at the end,1,The adult plays guitar and sings after approaching the two kids at the end.,The adult separates the kids after approaching them at the end.,The adult picks up the kids after approaching them at the end.,The adult picks up grass after approaching the two kids at the end.,The adult leans against the screen after approaching the two kids at the end.
4013751996,why does the girl face downwards while talking,3,Face downwards while talking for eye contact.,Face downwards while talking for chewing.,Face downwards while talking for talking.,Face downwards while talking for talking to someone on the grass.,Face downwards while talking for interacting with boy.
5229476012,why did the woman in black swimsuit spin the boy in a circle,4,woman in black swimsuit spins the boy in a circle for posing.,woman in black swimsuit spins the boy in a circle because she does not want wet hair.,woman in black swimsuit spins the boy in a circle for her to distribute something.,woman in black swimsuit spins the boy in a circle because she is not proficient at swimming.,woman in black swimsuit spins the boy in a circle for playing in water.
5801184682,what did the cat do after the human puts the hand on the floor,3,The cat bit the hand after the human put it on the floor.,The cat sat there after the human put the hand on the floor.,The cat ran away after the human put the hand on the floor.,The cat played with the hand after the human put it on the floor.,The cat played with the cat after the human put the hand on the floor.
3078294001,what does the man in black do as the man in white moved away,4,man in black rotates as the man in white moves away.,man in black drinks water as the man in white moves away.,man in black picks up something from the ground as the man in white moves away.,man in black bends towards the man in red as the man in white moves away.,man in black makes a hand gesture and talks as the man in white moves away.
4838145161,why does the cat suddenly move back at the start of the video,3,cat suddenly moves back at the start of the video because it is waiting for the owner.,cat suddenly moves back at the start of the video because it saw the person.,cat suddenly moves back at the start of the video because it is attracted towards the bubble.,cat suddenly moves back at the start of the video because its face got wet.,cat suddenly moves back at the start of the video to clean itself.
2696280239,how was the person on the bull moving his right arm,0,person on the bull moves his right arm by swinging it in the air.,person on the bull moves his right arm by using his fingers.,person on the bull moves his right arm by beating the drum vigorously.,person on the bull moves his right arm by beating it.,person on the bull moves his right arm with the sticks.
2435100235,why did the man in white shirt try to pass the watch to the other cyclist,2,The man in white shirt tries to pass the watch to the other cyclist by exchanging it for a gift.,The man in white shirt tries to pass the watch to the other cyclist by changing the watch strap.,The man in white shirt tries to pass the watch to the other cyclist because he wants to sell it.,The man in white shirt tries to pass the watch to the other cyclist to change the colors of the watch.,The man in white shirt tries to pass the watch to the other cyclist to pose for the camera.
11541421563,what does the woman in brown do after sitting for a while at the start,4,woman in brown touchesbaby's hand after sitting for a while at the start.,woman in brown runs after sitting for a while at the start.,woman in brown looks at the lady in red after sitting for a while at the start.,woman in brown stands up and flips the chart after sitting for a while at the start.,woman in brown leaves her seat after sitting for a while at the start.
7288107396,what did the boy do after he got down from the stairs,3,The boy ran towards the book shelf after getting down from the stairs.,The boy continued moving his bicycle after getting down from the stairs.,The boy put his arms back up after getting down from the stairs.,The boy ran to the present after getting down from the stairs.,The boy leaned against the screen after getting down from the stairs.
3530231811,why are there people sitting in front of the man in black jacket,3,Sit in front of the man in black jacket.,Take a video in front of the man in black jacket.,Gesture to emphasize his point in front of the man in black jacket.,Be an audience sitting in front of the man in black jacket.,Control the music in front of the man in black jacket.
5445581571,what is the black spotted dog looking at after he looked up,0,black spotted dog is looking at the white dog after he looked up.,black spotted dog should chase the brown dog after he looked up.,black spotted dog is trying to chase the white dog after he looked up.,black spotted dog should bend down after he looked up.,black spotted dog should play with the ball after he looked up.
8531675050,why does the woman keep her hands in a specific position after going near the man,3,Keep your hands in a specific position after going near the man and gesture as you speak.,Shake hands with the man after going near him.,Show the man something in your hands after going near him.,Listen to the man after going near him.,Spin around after going near the man.
10030609934,why did the boy bend down near the beginning of the video,4,boy bent down near the beginning of the video to look at the slope.,boy bent down near the beginning of the video to hold a hen.,boy bent down near the beginning of the video to dance on the floor.,boy bent down near the beginning of the video to talk.,boy bent down near the beginning of the video to look at the purple thing on the ground.
3935853204,why is the lady moving her head and fingers,3,"Examine the screen with your head and fingers, lady.","Attract baby's attention with your head and fingers, lady.","Take pictures with your head and fingers, lady.","Control the screen with your head and fingers, lady.","Perform with your head and fingers, lady."
8277866423,why did the brown dog move backwards,3,Move backwards to play hide and seek,Move backwards to play hide and seek,Move backwards to check the cleaning parts,Move backwards because the black dog barked at it,Move backwards because it's excited to play
5913180144,what does the man in blue socks do after he was put down by the man in grey suit,3,man in blue socks arm wrestles after he was put down by the man in grey suit.,man in blue socks plays with sand after he was put down by the man in grey suit.,man in blue socks walks along the lighted up wall after he was put down by the man in grey suit.,man in blue socks takes a step away after he was put down by the man in grey suit.,man in blue socks bites him after he was put down by the man in grey suit.
2604394962,why did the man put the toy on the ledge of the wall,2,man put the toy on the ledge of the wall to stay balanced to go up.,man put the toy on the ledge of the wall to attract the boy.,man put the toy on the ledge of the wall to play with it.,man put the toy on the ledge of the wall to stabilize.,man put the toy on the ledge of the wall for the cat to play.
4967810888,why does the woman in white bend down while walking in near the end,4,The woman in white bends down while walking in near the end to ensure she doesn't fall.,The woman in white bends down while walking in near the end to pick up a bag.,The woman in white bends down while walking in near the end to pose.,The woman in white bends down while walking in near the end to touch the lady in blue.,The woman in white bends down while walking in near the end to stay clear of the plant.
5875535585,how does the man in black interact with the audience,1,man in black interacts with the audience by hitting the drum.,man in black interacts with the audience by walking up and down.,man in black interacts with the audience by hitting with a stick.,man in black interacts with the audience by kneeling down.,man in black interacts with the audience by patting his shoulder.
4765564263,how did the boy in black pants moved from place to place,0,boy in black pants moved from place to place by walking.,boy in black pants moved from place to place by jumping.,boy in black pants moved from place to place by cycling.,boy in black pants moved from place to place on a scooter.,boy in black pants moved from place to place by swimming.
2584172238,why did the woman place her hand at the boy s hip in the middle of the video,1,The woman placed her hand at the boy's hip in the middle of the video to take the balloon away from the baby.,The woman placed her hand at the boy's hip in the middle of the video to support the boy.,The woman placed her hand at the boy's hip in the middle of the video to get closer to the bell.,The woman placed her hand at the boy's hip in the middle of the video to clean the hip.,The woman placed her hand at the boy's hip in the middle of the video to check whether the baby peed.
4882821564,how did the boy react when he entered the room at the start,3,The boy reacted by dancing when he entered the room at the start.,The boy reacted by running when he entered the room at the start.,The boy reacted by stretching his hand out when he entered the room at the start.,The boy reacted by smiling when he entered the room at the start.,The boy reacted by walking close to it and looking when he entered the room at the start.
4273039295,how is the boy moving around,1,boy is moving around by hiking,boy is moving around by walking,boy is moving around by having an adult carry him,boy is moving around by using a flying fox,boy is moving around by skiing
11584566583,how did the woman in green adjusts her glasses at the middle,0,Adjust your glasses in the middle by pushing up using your finger.,Adjust your glasses in the middle by taking them off and putting them back on.,Adjust your glasses in the middle by holding on to the sides of the ladder.,Adjust your glasses in the middle by nodding your head.,Adjust your glasses in the middle by pointing your fingers to make a triangle.
4010069381,why does the man in brown look towards his back,4,man in brown looks towards his back to wait for the girl.,man in brown looks towards his back to check the screen.,man in brown looks towards his back to play the guitar.,man in brown looks towards his back to dance together.,man in brown looks towards his back to talk to the lady.
2573424030,why did the dog stand on 2 legs after seeing the man give a treat to the baby,0,Stand on 2 legs after seeing the man give a treat to the baby because it wants food.,Stand on 2 legs after seeing the man give a treat to the baby because it wants to get pet.,Stand on 2 legs after seeing the man give a treat to the baby and smile at the camera.,Stand on 2 legs after seeing the man give a treat to the baby because the bigger dog didn't want it.,Stand on 2 legs after seeing the man give a treat to the baby because the man touches it.
8513603944,what does the child in blue helmet do after turning around,1,The child in blue helmet rides the bike after turning around.,The child in blue helmet continues walking after turning around.,The child in blue helmet moves the object after turning around.,The child in blue helmet reads something after turning around.,The child in blue helmet eats it after turning around.
6244675392,why does the adult put out her hand towards the baby at the beginning of the video,4,adult puts out her hand towards the baby at the beginning of the video to kiss her.,adult puts out her hand towards the baby at the beginning of the video to tell the baby to follow.,adult puts out her hand towards the baby at the beginning of the video to carry him.,adult puts out her hand towards the baby at the beginning of the video as a woman's manipulation.,adult puts out her hand towards the baby at the beginning of the video to hand over the food.
3869005094,how did the four people hold their sticks,1,four people held their sticks with their left hands.,four people held their sticks using both hands.,four people held their sticks by holding the middle.,four people held their sticks with their right hands.,four people held their sticks by leaning on the wall.
2957808913,what does the man sitting on stage behind the guitarists do when they play the guitar,0,man sitting on stage behind the guitarists plays the drum when they play the guitar.,man sitting on stage behind the guitarists shakes his body vigorously when they play the guitar.,man sitting on stage behind the guitarists stands on the side when they play the guitar.,man sitting on stage behind the guitarists practices dancing when they play the guitar.,man sitting on stage behind the guitarists sits on the floor when they play the guitar.
5521781780,what does the man in grey hold in his hands while he was walking around,0,man in grey holds a camera in his hands while he is walking around.,man in grey holds a book in his hands while he is walking around.,man in grey holds a spoon in his hands while he is walking around.,man in grey holds a chair in his hands while he is walking around.,man in grey holds a racket in his hands while he is walking around.
6097994550,what did the man sitting on top do after he came off the person on the ground,1,man sitting on top touched the camera after he came off the person on the ground,man sitting on top knelt at the side after he came off the person on the ground,man sitting on top talked to the camera after he came off the person on the ground,man sitting on top held each other arms after he came off the person on the ground,man sitting on top hugged the man after he came off the person on the ground
4151403382,what does the boy in brown bib do after seeing the piano,3,boy in the brown bib acknowledges him after seeing the piano.,boy in the brown bib grabs the book after seeing the piano.,boy in the brown bib pulls his scarf after seeing the piano.,boy in the brown bib bends down to play after seeing the piano.,boy in the brown bib takes it from him after seeing the piano.
3655906094,why did the man with sunglasses move his hand when talking to the man in blue hat,0,The man with sunglasses moved his hand when talking to the man in blue hat by gesturing,The man with sunglasses moved his hand when talking to the man in blue hat by shaking hands,The man with sunglasses moved his hand when talking to the man in blue hat by having a funny conversation,The man with sunglasses moved his hand when talking to the man in blue hat by patting his back,The man with sunglasses moved his hand when talking to the man in blue hat by taking notes
3322503255,why is the plane coming foward,4,come forward to ready to take off,come forward to support another plane,come forward to direct the car,come forward to wait for instructions,come forward to park
5875242364,why did the baby started to look distress after he tried to hold the makeshift pool,3,baby started to look distressed after he tried to hold the makeshift pool because the water got into his eyes.,baby started to look distressed after he tried to hold the makeshift pool because the man took away the bottle.,baby started to look distressed after he tried to hold the makeshift pool because it was a natural reaction to dust.,baby started to look distressed after he tried to hold the makeshift pool because he cannot get up.,baby started to look distressed after he tried to hold the makeshift pool because the dog snatched his toy.
3655906094,what did the man with grey hat do after talking to the man with sunglasses,4,The man with grey hat adjusts his posture after talking to the man with sunglasses.,The man with grey hat performs after talking to the man with sunglasses.,The man with grey hat turns toward the man in beige after talking to the man with sunglasses.,The man with grey hat waves his hands around after talking to the man with sunglasses.,The man with grey hat bends down after talking to the man with sunglasses.
9917882506,how do the children stop their bikes,2,The children stop their bikes by moving their handles,The children stop their bikes when they are stopped by a dog,The children stop their bikes by putting their legs down,The children stop their bikes when they are stopped by a man,The children stop their bikes by falling down the bike
11541421563,why are the men sitting surrounding the man in orange and woman in brown,3,Snuggle with the boys while sitting surrounding the man in orange and woman in brown.,Reach the top while sitting surrounding the man in orange and woman in brown.,Discuss different types of bicycles while sitting surrounding the man in orange and woman in brown.,Observe as audience while sitting surrounding the man in orange and woman in brown.,Watch friends play while sitting surrounding the man in orange and woman in brown.
5061117640,what does the man in grey do after walking for a while in the room at the start,2,Man in grey adjusts a chair after walking for a while in the room at the start,Man in grey looks at the presenters after walking for a while in the room at the start,Man in grey sits down after walking for a while in the room at the start,Man in grey poses after walking for a while in the room at the start,Man in grey picks something up after walking for a while in the room at the start
6592821115,why did the woman in grey extend her arms out to the standing baby in polkadot,3,The woman in grey extended her arms out to the standing baby in polkadot to play with the baby.,The woman in grey extended her arms out to the standing baby in polkadot to point at the baby.,The woman in grey extended her arms out to the standing baby in polkadot to stop the toddler from hitting the baby with a toy.,The woman in grey extended her arms out to the standing baby in polkadot to signal for the baby to come.,The woman in grey extended her arms out to the standing baby in polkadot to dance with the baby.
